monster1,monster2,monster1_win_pct,monster2_win_pct
Black Bear,Priest,54.0%,46.0%
Black Pudding,Merrow,46.0%,54.0%
Brown Bear,"Werewolf, Human Form",54.0%,46.0%
Bulette,Stone Giant,54.0%,46.0%
Cockatrice,Wolf,54.0%,46.0%
Couatl,Killer Whale,46.0%,54.0%
Cultist,Goblin,46.0%,54.0%
Deer,Stirge,46.0%,54.0%
Elephant,"Vampire, Bat Form",54.0%,46.0%
Giant Bat,Giant Goat,46.0%,54.0%
Giant Constrictor Snake,Medusa,54.0%,46.0%
Giant Constrictor Snake,"Wereboar, Boar Form",54.0%,46.0%
Giant Constrictor Snake,"Wereboar, Hybrid Form",54.0%,46.0%
Giant Weasel,Magma Mephit,46.0%,54.0%
Guard,Skeleton,46.0%,54.0%
Horned Devil,Young Silver Dragon,46.0%,54.0%
Ochre Jelly,Tiger,54.0%,46.0%
Roper,Young Bronze Dragon,54.0%,46.0%
Rust Monster,Swarm of Ravens,54.0%,46.0%
Stone Giant,Young Blue Dragon,46.0%,54.0%
Aboleth,Hezrou,54.1%,45.9%
Adult Brass Dragon,Tyrannosaurus Rex,54.1%,45.9%
Brass Dragon Wyrmling,Warhorse,45.9%,54.1%
Bronze Dragon Wyrmling,Hell Hound,54.1%,45.9%
Chimera,Green Hag,54.1%,45.9%
Death Dog,Duergar,45.9%,54.1%
Deva,Elephant,54.1%,45.9%
Deva,Water Elemental,45.9%,54.1%
Dust Mephit,Riding Horse,45.9%,54.1%
Ettin,"Werebear, Human Form",45.9%,54.1%
Ghast,Giant Boar,54.1%,45.9%
Ghast,Swarm of Quippers,54.1%,45.9%
Griffon,Sea Hag,45.9%,54.1%
Mage,Warhorse,45.9%,54.1%
Owlbear,Unicorn,45.9%,54.1%
Quasit,Violet Fungus,54.1%,45.9%
Reef Shark,Thug,45.9%,54.1%
Roper,Stone Giant,45.9%,54.1%
"Werewolf, Hybrid Form","Werewolf, Wolf Form",54.1%,45.9%
Doppelganger,Mummy,45.8%,54.2%
Giant Vulture,Hippogriff,45.8%,54.2%
Grick,Tiger,45.8%,54.2%
Griffon,Manticore,45.8%,54.2%
Ice Devil,Marilith,45.8%,54.2%
Medusa,Ogre,45.8%,54.2%
Silver Dragon Wyrmling,"Wereboar, Boar Form",54.2%,45.8%
Silver Dragon Wyrmling,"Wereboar, Hybrid Form",54.2%,45.8%
Adult Bronze Dragon,Purple Worm,45.7%,54.3%
Basilisk,Saber-Toothed Tiger,45.7%,54.3%
Boar,Giant Wolf Spider,45.7%,54.3%
Commoner,Eagle,45.7%,54.3%
Deep Gnome (Svirfneblin),"Wererat, Hybrid Form",45.7%,54.3%
Deep Gnome (Svirfneblin),"Wererat, Rat Form",45.7%,54.3%
Drow,Swarm of Bats,45.7%,54.3%
Giant Owl,Swarm of Ravens,45.7%,54.3%
Goblin,Guard,45.7%,54.3%
Hippogriff,Swarm of Beetles,45.7%,54.3%
Hippogriff,Swarm of Centipedes,45.7%,54.3%
Hippogriff,Swarm of Insects,45.7%,54.3%
Hippogriff,Swarm of Spiders,45.7%,54.3%
Hippogriff,Swarm of Wasps,45.7%,54.3%
Archmage,Doppelganger,54.3%,45.7%
Barbed Devil,Cloaker,54.3%,45.7%
Berserker,Giant Constrictor Snake,54.3%,45.7%
Darkmantle,Draft Horse,54.3%,45.7%
Deer,Goat,54.3%,45.7%
Dire Wolf,Merrow,54.3%,45.7%
Killer Whale,Xorn,54.3%,45.7%
Mage,Swarm of Beetles,54.3%,45.7%
Mage,Swarm of Centipedes,54.3%,45.7%
Mage,Swarm of Insects,54.3%,45.7%
Mage,Swarm of Spiders,54.3%,45.7%
Mage,Swarm of Wasps,54.3%,45.7%
Ankheg,Archmage,45.6%,54.4%
Earth Elemental,Gynosphinx,45.6%,54.4%
Ghost,"Weretiger, Human Form",45.6%,54.4%
Giant Crab,Wolf,45.6%,54.4%
Hydra,Young Copper Dragon,45.6%,54.4%
Assassin,Gibbering Mouther,54.4%,45.6%
Brass Dragon Wyrmling,"Wererat, Human Form",54.4%,45.6%
Constrictor Snake,Dust Mephit,54.4%,45.6%
Dire Wolf,Giant Hyena,54.4%,45.6%
Druid,Elk,54.4%,45.6%
Flesh Golem,Minotaur Skeleton,54.4%,45.6%
Glabrezu,Ice Devil,54.4%,45.6%
Gray Ooze,Guard,54.4%,45.6%
Grick,Worg,54.4%,45.6%
Magma Mephit,Zombie,54.4%,45.6%
Medusa,Silver Dragon Wyrmling,54.4%,45.6%
Minotaur,Wraith,54.4%,45.6%
Tiger,White Dragon Wyrmling,54.4%,45.6%
Animated Armor,Swarm of Poisonous Snakes,45.5%,54.5%
Animated Armor,"Werewolf, Hybrid Form",45.5%,54.5%
Animated Armor,"Werewolf, Wolf Form",45.5%,54.5%
Assassin,Vampire Spawn,45.5%,54.5%
Azer,Dire Wolf,45.5%,54.5%
Black Dragon Wyrmling,Giant Boar,45.5%,54.5%
Black Dragon Wyrmling,Swarm of Quippers,45.5%,54.5%
Cultist,Tribal Warrior,45.5%,54.5%
Ettercap,Swarm of Poisonous Snakes,45.5%,54.5%
Noble,Skeleton,45.5%,54.5%
Tiger,"Werewolf, Hybrid Form",45.5%,54.5%
Tiger,"Werewolf, Wolf Form",45.5%,54.5%
Unicorn,Winter Wolf,45.5%,54.5%
Archmage,Giant Octopus,54.5%,45.5%
Gelatinous Cube,Hunter Shark,54.5%,45.5%
Ghost,Gibbering Mouther,54.5%,45.5%
Giant Crab,Magmin,54.5%,45.5%
Imp,Magmin,54.5%,45.5%
Adult Black Dragon,Adult Green Dragon,45.4%,54.6%
Adult Gold Dragon,Adult Red Dragon,54.6%,45.4%
Assassin,Berserker,54.6%,45.4%
Bandit Captain,Sea Hag,45.4%,54.6%
Bulette,Mammoth,54.6%,45.4%
Ghoul,Harpy,45.4%,54.6%
Gold Dragon Wyrmling,Winter Wolf,54.6%,45.4%
Griffon,Succubus/Incubus,54.6%,45.4%
Hill Giant,Hydra,45.4%,54.6%
Manticore,Sea Hag,54.6%,45.4%
Medusa,"Wereboar, Boar Form",54.6%,45.4%
Medusa,"Wereboar, Hybrid Form",54.6%,45.4%
Warhorse,Warhorse Skeleton,45.4%,54.6%
Blue Dragon Wyrmling,Ogre,45.3%,54.7%
Draft Horse,Satyr,45.3%,54.7%
Draft Horse,Swarm of Beetles,45.3%,54.7%
Draft Horse,Swarm of Centipedes,45.3%,54.7%
Draft Horse,Swarm of Insects,45.3%,54.7%
Draft Horse,Swarm of Spiders,45.3%,54.7%
Draft Horse,Swarm of Wasps,45.3%,54.7%
Draft Horse,Warhorse,45.3%,54.7%
Frost Giant,Young Silver Dragon,45.3%,54.7%
Ghast,Hell Hound,45.3%,54.7%
Ghoul,Swarm of Beetles,45.3%,54.7%
Ghoul,Swarm of Centipedes,45.3%,54.7%
Ghoul,Swarm of Insects,45.3%,54.7%
Ghoul,Swarm of Spiders,45.3%,54.7%
Ghoul,Swarm of Wasps,45.3%,54.7%
Giant Boar,Giant Octopus,45.3%,54.7%
Grimlock,Zombie,45.3%,54.7%
Bone Devil,Erinyes,54.7%,45.3%
Flying Sword,Reef Shark,54.7%,45.3%
Harpy,Swarm of Beetles,54.7%,45.3%
Harpy,Swarm of Centipedes,54.7%,45.3%
Harpy,Swarm of Insects,54.7%,45.3%
Harpy,Swarm of Spiders,54.7%,45.3%
Harpy,Swarm of Wasps,54.7%,45.3%
Lamia,Salamander,54.7%,45.3%
Ape,Orc,45.2%,54.8%
Brown Bear,White Dragon Wyrmling,45.2%,54.8%
Ettercap,White Dragon Wyrmling,45.2%,54.8%
Ettin,Wyvern,45.2%,54.8%
Ghoul,Warhorse,45.2%,54.8%
Mage,Specter,45.2%,54.8%
Pseudodragon,Steam Mephit,45.2%,54.8%
Black Pudding,Swarm of Quippers,54.8%,45.2%
Blue Dragon Wyrmling,Rhinoceros,54.8%,45.2%
Cultist,Quasit,54.8%,45.2%
Erinyes,Shield Guardian,54.8%,45.2%
Ettin,Vrock,54.8%,45.2%
Giant Boar,Green Dragon Wyrmling,54.8%,45.2%
Camel,Quasit,45.1%,54.9%
Giant Bat,Hippogriff,45.1%,54.9%
Ochre Jelly,White Dragon Wyrmling,45.1%,54.9%
Salamander,Wraith,45.1%,54.9%
Swarm of Ravens,Swarm of Spiders,45.1%,54.9%
Swarm of Ravens,Swarm of Wasps,45.1%,54.9%
Vrock,Wyvern,45.1%,54.9%
Darkmantle,Spy,54.9%,45.1%
Ghoul,Orc,54.9%,45.1%
Giant Scorpion,Will-o'-Wisp,54.9%,45.1%
Harpy,Mage,54.9%,45.1%
Animated Armor,Ghast,45.0%,55.0%
Black Pudding,Hell Hound,45.0%,55.0%
Blue Dragon Wyrmling,Medusa,45.0%,55.0%
Bone Devil,Mummy Lord,45.0%,55.0%
Deep Gnome (Svirfneblin),Swarm of Ravens,45.0%,55.0%
Dretch,Giant Weasel,45.0%,55.0%
Harpy,Specter,45.0%,55.0%
Mule,Quasit,45.0%,55.0%
Adult Silver Dragon,Iron Golem,55.0%,45.0%
Bronze Dragon Wyrmling,Dire Wolf,55.0%,45.0%
Bulette,Giant Ape,55.0%,45.0%
Bulette,Roper,55.0%,45.0%
Drow,Scout,55.0%,45.0%
Giant Frog,Giant Wasp,55.0%,45.0%
Giant Frog,Panther,55.0%,45.0%
Air Elemental,Water Elemental,55.1%,44.9%
Animated Armor,Gargoyle,44.9%,55.1%
Ankheg,Basilisk,44.9%,55.1%
Ape,Crocodile,55.1%,44.9%
Azer,Bugbear,55.1%,44.9%
Azer,Will-o'-Wisp,55.1%,44.9%
Cockatrice,Drow,44.9%,55.1%
Duergar,Grick,44.9%,55.1%
Giant Bat,Orc,44.9%,55.1%
Giant Crab,Giant Sea Horse,55.1%,44.9%
Giant Scorpion,Mimic,44.9%,55.1%
Green Dragon Wyrmling,Merrow,44.9%,55.1%
Hunter Shark,Rhinoceros,55.1%,44.9%
Lizardfolk,Orc,44.9%,55.1%
Rhinoceros,Silver Dragon Wyrmling,55.1%,44.9%
Veteran,"Wereboar, Human Form",55.1%,44.9%
Aboleth,Young Black Dragon,44.8%,55.2%
Brown Bear,Tiger,44.8%,55.2%
Dretch,Grimlock,44.8%,55.2%
Gargoyle,Ghast,44.8%,55.2%
Blood Hawk,Camel,55.2%,44.8%
Constrictor Snake,Sahuagin,55.2%,44.8%
Dretch,Giant Wolf Spider,55.2%,44.8%
Druid,Magmin,55.2%,44.8%
Giant Wasp,Sahuagin,55.2%,44.8%
Knight,Unicorn,55.2%,44.8%
Panther,Sahuagin,55.2%,44.8%
Reef Shark,Spy,55.2%,44.8%
"Werewolf, Human Form",Wight,55.2%,44.8%
Young Gold Dragon,Young Red Dragon,55.2%,44.8%
Bronze Dragon Wyrmling,Polar Bear,44.7%,55.3%
Doppelganger,Succubus/Incubus,44.7%,55.3%
Flying Sword,Swarm of Ravens,44.7%,55.3%
Hyena,Mastiff,44.7%,55.3%
Invisible Stalker,Vrock,44.7%,55.3%
Night Hag,Young Brass Dragon,44.7%,55.3%
Ape,Deep Gnome (Svirfneblin),55.3%,44.7%
Ape,Flying Sword,55.3%,44.7%
Axe Beak,Swarm of Rats,55.3%,44.7%
Brass Dragon Wyrmling,Swarm of Beetles,55.3%,44.7%
Brass Dragon Wyrmling,Swarm of Centipedes,55.3%,44.7%
Brass Dragon Wyrmling,Swarm of Insects,55.3%,44.7%
Brass Dragon Wyrmling,Swarm of Spiders,55.3%,44.7%
Brass Dragon Wyrmling,Swarm of Wasps,55.3%,44.7%
Crocodile,Spy,55.3%,44.7%
Rust Monster,Thug,55.3%,44.7%
Dryad,Giant Wolf Spider,44.6%,55.4%
Adult White Dragon,Androsphinx,55.4%,44.6%
Basilisk,Mummy,55.4%,44.6%
Bearded Devil,Black Dragon Wyrmling,55.4%,44.6%
Black Pudding,Ghast,55.4%,44.6%
Ghost,Ogre,55.4%,44.6%
Goat,Stirge,55.4%,44.6%
Gorgon,Roper,55.4%,44.6%
Grick,Warhorse Skeleton,55.4%,44.6%
Shadow,"Wererat, Hybrid Form",55.4%,44.6%
Shadow,"Wererat, Rat Form",55.4%,44.6%
Couatl,Water Elemental,44.5%,55.5%
Cultist,Dryad,44.5%,55.5%
Giant Octopus,Griffon,44.5%,55.5%
Giant Spider,Worg,44.5%,55.5%
Giant Vulture,"Wererat, Hybrid Form",44.5%,55.5%
Giant Vulture,"Wererat, Rat Form",44.5%,55.5%
Giant Weasel,Skeleton,44.5%,55.5%
Grick,White Dragon Wyrmling,44.5%,55.5%
Manticore,Rhinoceros,44.5%,55.5%
"Werewolf, Hybrid Form",Will-o'-Wisp,44.5%,55.5%
"Werewolf, Wolf Form",Will-o'-Wisp,44.5%,55.5%
Ape,Giant Owl,55.5%,44.5%
Assassin,Silver Dragon Wyrmling,55.5%,44.5%
Druid,Sahuagin,55.5%,44.5%
Guard,Imp,55.5%,44.5%
Guard,Zombie,55.5%,44.5%
Hill Giant,Shield Guardian,55.5%,44.5%
Killer Whale,"Werebear, Bear Form",55.5%,44.5%
Killer Whale,"Werebear, Hybrid Form",55.5%,44.5%
"Werewolf, Human Form",Worg,55.5%,44.5%
Bandit Captain,Manticore,44.4%,55.6%
Chain Devil,Otyugh,44.4%,55.6%
Hezrou,Young White Dragon,44.4%,55.6%
Phase Spider,Wight,44.4%,55.6%
Sea Hag,Veteran,44.4%,55.6%
Ape,Reef Shark,55.6%,44.4%
Crocodile,Flying Sword,55.6%,44.4%
Ghost,Silver Dragon Wyrmling,55.6%,44.4%
Giant Constrictor Snake,Vampire Spawn,55.6%,44.4%
Giant Crab,Sahuagin,55.6%,44.4%
Giant Eagle,Satyr,55.6%,44.4%
Gray Ooze,Panther,55.6%,44.4%
Imp,Wolf,55.6%,44.4%
Adult Brass Dragon,Adult Copper Dragon,44.3%,55.7%
Animated Armor,Warhorse Skeleton,55.7%,44.3%
Black Dragon Wyrmling,Green Dragon Wyrmling,44.3%,55.7%
Bulette,Young Blue Dragon,44.3%,55.7%
Darkmantle,"Wererat, Hybrid Form",55.7%,44.3%
Darkmantle,"Wererat, Rat Form",55.7%,44.3%
Draft Horse,Lion,44.3%,55.7%
Flying Sword,Shadow,55.7%,44.3%
Giant Elk,Saber-Toothed Tiger,55.7%,44.3%
Lamia,Rakshasa,44.3%,55.7%
Orc,Satyr,44.3%,55.7%
Triceratops,Young Green Dragon,44.3%,55.7%
Air Elemental,Guardian Naga,44.2%,55.8%
Basilisk,Gelatinous Cube,44.2%,55.8%
Black Pudding,Mimic,44.2%,55.8%
Flying Sword,Thug,44.2%,55.8%
Ghost,Spirit Naga,44.2%,55.8%
Giant Owl,Rust Monster,44.2%,55.8%
Hezrou,Lich,44.2%,55.8%
Azer,Ghast,55.8%,44.2%
Berserker,Pegasus,55.8%,44.2%
Death Dog,Warhorse,55.8%,44.2%
Giant Bat,Giant Vulture,55.8%,44.2%
Spy,"Wererat, Hybrid Form",55.8%,44.2%
Spy,"Wererat, Rat Form",55.8%,44.2%
Chain Devil,Chimera,44.1%,55.9%
Cultist,Giant Badger,44.1%,55.9%
Darkmantle,Swarm of Ravens,44.1%,55.9%
Deva,"Vampire, Bat Form",44.1%,55.9%
Drider,Ghost,44.1%,55.9%
Elk,Hobgoblin,44.1%,55.9%
Giant Scorpion,Hell Hound,44.1%,55.9%
Gibbering Mouther,Silver Dragon Wyrmling,44.1%,55.9%
Noble,Wolf,44.1%,55.9%
Specter,Warhorse Skeleton,44.1%,55.9%
Chain Devil,Minotaur,55.9%,44.1%
Elk,Riding Horse,55.9%,44.1%
Giant Crab,Giant Wasp,55.9%,44.1%
Giant Crab,Panther,55.9%,44.1%
Giant Owl,Reef Shark,55.9%,44.1%
Mammoth,Marilith,55.9%,44.1%
Death Dog,Giant Spider,44.0%,56.0%
Draft Horse,Mage,44.0%,56.0%
Giant Weasel,Gray Ooze,44.0%,56.0%
Giant Weasel,Zombie,44.0%,56.0%
Griffon,Hunter Shark,44.0%,56.0%
Riding Horse,Swarm of Rats,44.0%,56.0%
Rust Monster,"Wererat, Human Form",44.0%,56.0%
Constrictor Snake,Magmin,56.0%,44.0%
Giant Wasp,Magmin,56.0%,44.0%
Lion,Specter,56.0%,44.0%
Ape,Draft Horse,43.9%,56.1%
Axe Beak,Crocodile,43.9%,56.1%
Bandit,Giant Weasel,43.9%,56.1%
Bearded Devil,Green Dragon Wyrmling,43.9%,56.1%
Draft Horse,Harpy,43.9%,56.1%
Fire Elemental,Invisible Stalker,43.9%,56.1%
Flying Snake,Vulture,43.9%,56.1%
Bandit Captain,Mummy,56.1%,43.9%
Berserker,Ghost,56.1%,43.9%
Blink Dog,Giant Poisonous Snake,56.1%,43.9%
Giant Lizard,Giant Vulture,56.1%,43.9%
Ogre Zombie,Winter Wolf,56.1%,43.9%
Berserker,Medusa,43.8%,56.2%
Black Bear,Hobgoblin,43.8%,56.2%
Cockatrice,Scout,43.8%,56.2%
Deep Gnome (Svirfneblin),Giant Bat,56.2%,43.8%
Deep Gnome (Svirfneblin),Lizardfolk,56.2%,43.8%
Giant Bat,"Wererat, Hybrid Form",43.8%,56.2%
Giant Bat,"Wererat, Rat Form",43.8%,56.2%
Giant Boar,Giant Scorpion,56.2%,43.8%
Giant Elk,Sea Hag,56.2%,43.8%
Lich,Young Black Dragon,56.2%,43.8%
Lizardfolk,"Wererat, Hybrid Form",43.8%,56.2%
Lizardfolk,"Wererat, Rat Form",43.8%,56.2%
Pseudodragon,Tribal Warrior,43.8%,56.2%
Triceratops,Young White Dragon,56.2%,43.8%
Brass Dragon Wyrmling,Draft Horse,56.3%,43.7%
Drow,Swarm of Rats,43.7%,56.3%
Gelatinous Cube,Pegasus,43.7%,56.3%
Giant Lizard,Hippogriff,43.7%,56.3%
Green Hag,Otyugh,56.3%,43.7%
Hippogriff,Swarm of Ravens,56.3%,43.7%
Mule,Pseudodragon,56.3%,43.7%
Rhinoceros,"Wereboar, Human Form",56.3%,43.7%
Shambling Mound,Young Brass Dragon,43.7%,56.3%
Treant,Young Bronze Dragon,56.3%,43.7%
Air Elemental,Gladiator,56.4%,43.6%
Ankheg,Hell Hound,56.4%,43.6%
Ankheg,Polar Bear,56.4%,43.6%
Brown Bear,Warhorse Skeleton,56.4%,43.6%
Druid,Giant Crab,56.4%,43.6%
Eagle,Mastiff,56.4%,43.6%
Ghoul,Swarm of Ravens,56.4%,43.6%
Giant Frog,Guard,56.4%,43.6%
Gladiator,Xorn,56.4%,43.6%
Ghast,Giant Octopus,43.6%,56.4%
Grimlock,Sahuagin,43.6%,56.4%
Ape,Shadow,56.5%,43.5%
Badger,Sprite,56.5%,43.5%
Dryad,Violet Fungus,56.5%,43.5%
Gelatinous Cube,Rhinoceros,56.5%,43.5%
Ice Mephit,Imp,56.5%,43.5%
Vampire Spawn,"Wereboar, Boar Form",56.5%,43.5%
Vampire Spawn,"Wereboar, Hybrid Form",56.5%,43.5%
"Wererat, Hybrid Form","Wererat, Rat Form",56.5%,43.5%
Adult Copper Dragon,Adult White Dragon,43.5%,56.5%
Black Dragon Wyrmling,Black Pudding,43.5%,56.5%
Erinyes,Mummy Lord,43.5%,56.5%
Ghast,Green Dragon Wyrmling,43.5%,56.5%
Ghost,Unicorn,43.5%,56.5%
Giant Toad,Ochre Jelly,43.5%,56.5%
Knight,Nightmare,43.5%,56.5%
Steam Mephit,Tribal Warrior,43.5%,56.5%
Tiger,Will-o'-Wisp,43.5%,56.5%
Azer,Bearded Devil,56.6%,43.4%
Berserker,Veteran,56.6%,43.4%
Darkmantle,Giant Goat,56.6%,43.4%
Rakshasa,Wyvern,56.6%,43.4%
Scorpion,Weasel,56.6%,43.4%
Swarm of Poisonous Snakes,Tiger,56.6%,43.4%
Brass Dragon Wyrmling,Mage,43.4%,56.6%
Darkmantle,Thug,43.4%,56.6%
Giant Scorpion,Merrow,43.4%,56.6%
Goblin,Ice Mephit,43.4%,56.6%
Ice Mephit,Sahuagin,43.4%,56.6%
Ancient White Dragon,Pit Fiend,56.7%,43.3%
Berserker,Drider,56.7%,43.3%
Dust Mephit,Wolf,56.7%,43.3%
Fire Elemental,Red Dragon Wyrmling,56.7%,43.3%
Flesh Golem,Red Dragon Wyrmling,56.7%,43.3%
Giant Owl,Gnoll,56.7%,43.3%
Giant Vulture,Shadow,56.7%,43.3%
Gray Ooze,Zombie,56.7%,43.3%
Half-Red Dragon Veteran,Owlbear,56.7%,43.3%
Magmin,Wolf,56.7%,43.3%
Mammoth,Young Blue Dragon,56.7%,43.3%
Mummy Lord,Young Brass Dragon,56.7%,43.3%
Archmage,Basilisk,43.3%,56.7%
Bandit,Noble,43.3%,56.7%
Hyena,Kobold,43.3%,56.7%
Awakened Tree,Cloaker,56.8%,43.2%
Axe Beak,Darkmantle,43.2%,56.8%
Bandit,Giant Badger,56.8%,43.2%
Blink Dog,Swarm of Rats,43.2%,56.8%
Bone Devil,Hydra,43.2%,56.8%
Deep Gnome (Svirfneblin),Shadow,56.8%,43.2%
Giant Fire Beetle,Hyena,43.2%,56.8%
Green Dragon Wyrmling,Will-o'-Wisp,56.8%,43.2%
Grimlock,Guard,56.8%,43.2%
Hippogriff,Thug,56.8%,43.2%
Lamia,Wraith,43.2%,56.8%
Shadow,Spy,56.8%,43.2%
Young Brass Dragon,Young Copper Dragon,43.2%,56.8%
Camel,Pseudodragon,56.9%,43.1%
Commoner,Flying Snake,56.9%,43.1%
Cult Fanatic,Swarm of Bats,56.9%,43.1%
Griffon,Mummy,56.9%,43.1%
Hydra,Young Brass Dragon,56.9%,43.1%
Pony,Zombie,56.9%,43.1%
Assassin,Ogre,43.1%,56.9%
Axe Beak,Reef Shark,43.1%,56.9%
Berserker,Owlbear,43.1%,56.9%
Blood Hawk,Boar,43.1%,56.9%
Hobgoblin,Shadow,43.1%,56.9%
Invisible Stalker,Salamander,43.1%,56.9%
Pseudodragon,Violet Fungus,43.1%,56.9%
Saber-Toothed Tiger,Veteran,43.1%,56.9%
"Wereboar, Boar Form","Weretiger, Human Form",43.1%,56.9%
"Wereboar, Hybrid Form","Weretiger, Human Form",43.1%,56.9%
Ankheg,Centaur,57.0%,43.0%
Baboon,Jackal,57.0%,43.0%
Bat,Raven,57.0%,43.0%
Bat,Spider,57.0%,43.0%
Berserker,"Wereboar, Human Form",57.0%,43.0%
Bronze Dragon Wyrmling,Green Dragon Wyrmling,57.0%,43.0%
Deer,Vulture,57.0%,43.0%
Gray Ooze,Magma Mephit,57.0%,43.0%
Hezrou,Young Copper Dragon,57.0%,43.0%
Manticore,Saber-Toothed Tiger,57.0%,43.0%
Azer,Hell Hound,43.0%,57.0%
Black Pudding,Giant Hyena,43.0%,57.0%
Bugbear,Giant Octopus,43.0%,57.0%
Grimlock,Skeleton,43.0%,57.0%
Half-Red Dragon Veteran,Ogre Zombie,43.0%,57.0%
Gelatinous Cube,Succubus/Incubus,57.1%,42.9%
Quasit,Tribal Warrior,57.1%,42.9%
Saber-Toothed Tiger,Sea Hag,57.1%,42.9%
Young Black Dragon,Young White Dragon,57.1%,42.9%
Dire Wolf,Doppelganger,42.9%,57.1%
Doppelganger,Griffon,42.9%,57.1%
Giant Elk,Rhinoceros,42.9%,57.1%
Night Hag,Shield Guardian,42.9%,57.1%
Adult Blue Dragon,Fire Giant,57.2%,42.8%
Berserker,Rhinoceros,57.2%,42.8%
Cult Fanatic,Hobgoblin,57.2%,42.8%
Doppelganger,Giant Octopus,57.2%,42.8%
Drow,Riding Horse,57.2%,42.8%
Giant Ape,Glabrezu,57.2%,42.8%
Pegasus,Silver Dragon Wyrmling,57.2%,42.8%
Brass Dragon Wyrmling,Lion,42.8%,57.2%
Bulette,Marilith,42.8%,57.2%
Druid,Riding Horse,42.8%,57.2%
Boar,Quasit,57.3%,42.7%
Elk,Wolf,57.3%,42.7%
Giant Eagle,Mage,57.3%,42.7%
Giant Sea Horse,Guard,57.3%,42.7%
Merrow,Mimic,57.3%,42.7%
"Weretiger, Hybrid Form","Weretiger, Tiger Form",57.3%,42.7%
Bugbear,Merrow,42.7%,57.3%
Earth Elemental,Lich,42.7%,57.3%
Ettin,Minotaur,42.7%,57.3%
Animated Armor,Black Dragon Wyrmling,42.6%,57.4%
Ape,Ghoul,42.6%,57.4%
Awakened Tree,Barbed Devil,57.4%,42.6%
Brown Bear,Wight,57.4%,42.6%
Clay Golem,Young White Dragon,42.6%,57.4%
Crocodile,Deep Gnome (Svirfneblin),57.4%,42.6%
Dust Mephit,Priest,42.6%,57.4%
Ettin,Rakshasa,42.6%,57.4%
Gargoyle,Will-o'-Wisp,42.6%,57.4%
Giant Badger,Grimlock,42.6%,57.4%
Giant Fire Beetle,Vulture,57.4%,42.6%
Giant Sea Horse,Sahuagin,57.4%,42.6%
Green Hag,Xorn,42.6%,57.4%
Ice Mephit,Pony,57.4%,42.6%
Planetar,Purple Worm,57.4%,42.6%
Scout,Swarm of Rats,42.6%,57.4%
Black Dragon Wyrmling,Ghast,57.5%,42.5%
Flying Sword,Giant Bat,57.5%,42.5%
Flying Sword,Lizardfolk,57.5%,42.5%
Hydra,Mummy Lord,57.5%,42.5%
Ogre,Owlbear,57.5%,42.5%
Orc,Rust Monster,57.5%,42.5%
Orc,Swarm of Ravens,57.5%,42.5%
Swarm of Poisonous Snakes,White Dragon Wyrmling,57.5%,42.5%
"Werebear, Bear Form","Werebear, Hybrid Form",57.5%,42.5%
Aboleth,Gynosphinx,42.5%,57.5%
Axe Beak,Giant Goat,42.5%,57.5%
Bandit,Pony,42.5%,57.5%
Giant Lizard,Spy,42.5%,57.5%
Glabrezu,Marilith,42.5%,57.5%
Imp,Riding Horse,42.5%,57.5%
Sea Hag,"Wereboar, Human Form",42.5%,57.5%
Specter,Worg,42.5%,57.5%
Bearded Devil,"Werewolf, Hybrid Form",57.6%,42.4%
Bearded Devil,"Werewolf, Wolf Form",57.6%,42.4%
Blink Dog,Drow,57.6%,42.4%
Blue Dragon Wyrmling,Veteran,57.6%,42.4%
Blue Dragon Wyrmling,"Wereboar, Human Form",57.6%,42.4%
Eagle,Giant Centipede,57.6%,42.4%
Ghost,Veteran,57.6%,42.4%
Giant Crocodile,Shield Guardian,57.6%,42.4%
Guard,Magma Mephit,57.6%,42.4%
Ape,Rust Monster,42.4%,57.6%
Bandit Captain,Saber-Toothed Tiger,42.4%,57.6%
Brown Bear,Swarm of Poisonous Snakes,42.4%,57.6%
Cockatrice,Giant Poisonous Snake,42.4%,57.6%
Goblin,Pony,42.4%,57.6%
Mule,Tribal Warrior,42.4%,57.6%
Bronze Dragon Wyrmling,Giant Boar,57.7%,42.3%
Bulette,Gorgon,57.7%,42.3%
Constrictor Snake,Giant Sea Horse,57.7%,42.3%
Ettercap,"Werewolf, Human Form",57.7%,42.3%
Ettercap,Worg,57.7%,42.3%
Giant Hyena,Merrow,57.7%,42.3%
Glabrezu,Stone Giant,57.7%,42.3%
Minotaur,Rakshasa,57.7%,42.3%
"Wereboar, Boar Form","Wereboar, Hybrid Form",57.7%,42.3%
Aboleth,Lich,42.3%,57.7%
Constrictor Snake,Priest,42.3%,57.7%
Dust Mephit,Giant Poisonous Snake,42.3%,57.7%
Ghast,Polar Bear,42.3%,57.7%
Ghoul,Giant Eagle,42.3%,57.7%
Giant Wasp,Priest,42.3%,57.7%
Panther,Priest,42.3%,57.7%
Saber-Toothed Tiger,Silver Dragon Wyrmling,42.3%,57.7%
Silver Dragon Wyrmling,"Weretiger, Human Form",42.3%,57.7%
Aboleth,Clay Golem,57.8%,42.2%
Assassin,"Wereboar, Human Form",57.8%,42.2%
Azer,Black Dragon Wyrmling,57.8%,42.2%
Cloaker,Winter Wolf,57.8%,42.2%
Constrictor Snake,Giant Wasp,57.8%,42.2%
Constrictor Snake,Panther,57.8%,42.2%
Giant Wasp,Panther,57.8%,42.2%
